"set"	"num_samples"	"best_alpha"	"best_sigma"	"error_class"	"error_prob"
0	10	0.6	0.05	0.344274529411765	0.364958823529412
0	20	0.8	0.05	0.164274488235294	0.281751235294118
0	30	0.6	0.05	0.114862723529412	0.209693588235294
0	100	0.6	0.05	0.0297254882352941	0.157728529411765
1	10	0.95	0.5	0.115653308	0.2831804
1	20	0.95	0.5	0.076453332	0.2625344
1	30	0.95	0.5	0.066586628	0.25441888
1	100	0.9	0.5	0.031866664	0.16852008
2	10	0.99	0.7	0.091066652	0.22767476
2	20	0.999	0.5	0.060906692	0.14857684
2	30	0.99	0.7	0.059146652	0.21347224
2	100	0.999	0.5	0.031813336	0.11776364
3	10	0.2	0.05	0.32659995	0.34748485
3	20	0.2	0.05	0.2553668	0.2849663
3	30	0.2	0.05	0.1955666	0.208371
3	100	0.9999	0.1	0.016533333	0.021922075
4	10	0.2	0.6	0.4675	0.4804562
4	20	0.2	0.9	0.4415	0.4669074
4	30	0.8	0.3	0.435	0.4561512
4	100	0.2	0.7	0.328	0.367187
5	10	0.2	4	0.385370333333333	0.495771166666667
5	20	0.2	2	0.355	0.490246944444444
5	30	0.2	2	0.322185166666667	0.486690611111111
5	100	0.2	4	0.2155555	0.466401333333333
6	10	0.999	0.4	0.629037055555556	0.631322833333333
6	20	0.999	0.3	0.3845555	0.389494277777778
6	30	0.9999	0.3	0.254370555555556	0.258368944444444
6	100	0.999	0.2	0.0740000111111111	0.0748735833333333
7	10	0.2	0.6	0.405287482758621	0.46162
7	20	0.2	0.7	0.359126448275862	0.464243517241379
7	30	0.2	0.7	0.342482724137931	0.462132
7	100	0.2	0.7	0.237816034482759	0.439606206896552
10	10	0.6	4	0.493824473684211	0.496698421052632
10	20	0.2	0.4	0.489964947368421	0.493302157894737
10	30	0.8	0.05	0.485017578947368	0.489016368421053
10	100	0.6	0.3	0.464280684210526	0.469818894736842
11	10	0.2	0.1	0.273087789473684	0.312644421052632
11	20	0.2	0.05	0.215017578947369	0.228547684210526
11	30	0.4	0.05	0.158175368421053	0.186484263157895
11	100	0.4	0.05	0.0761403315789474	0.131776052631579
